id,anchor,target,context,score
37d61fd2272659b1,abatement,abatement of pollution,A47,0.5
7b9652b17b68b7a4,abatement,act of abating,A47,0.75
36d72442aefd8232,abatement,active catalyst,A47,0.25
5296b0c19e1ce60e,abatement,eliminating process,A47,0.5
54c1e3b9184cb5b6,abatement,forest region,A47,0
067203128142739c,abatement,greenhouse gases,A47,0.25
061d17f04be2d1cf,abatement,increased rate,A47,0.25
e1f44e48399a2027,abatement,measurement level,A47,0.25
0a425937a3e86d10,abatement,minimising sounds,A47,0.5
ef2d4c2e6bbb208d,abatement,mixing core materials,A47,0.25
